,COLONIA,ALCALDIA,lat,lng
1125,LA CEBADA (AMPL),ALVARO OBREGON,19.380192048,-99.2334427087
1126,EL RUEDO,ALVARO OBREGON,19.3514125541,-99.239907135
1127,EL BOSQUE SECCION TORRES,ALVARO OBREGON,19.3932662249,-99.1956903827
1128,AGRICOLA ORIENTAL I,IZTACALCO,19.4018202822,-99.077296377
1129,RAMOS MILLAN BRAMADERO I,IZTACALCO,19.3931540569,-99.0970145692
1130,TLACOTAL RAMOS MILLAN,IZTACALCO,19.3955069034,-99.1066778688
1131,CAMPAMENTO 2 DE OCTUBRE II,IZTACALCO,19.3847324113,-99.1196996384
1132,CARLOS ZAPATA VELA,IZTACALCO,19.3825331463,-99.0974987038
1133,REYNOSA TAMAULIPAS,AZCAPOTZALCO,19.4941511372,-99.187564161
1134,SAN ALVARO,AZCAPOTZALCO,19.4614788407,-99.1837633342
1135,SAN ANDRES DE LAS SALINAS (PBLO),AZCAPOTZALCO,19.4900799665,-99.153793855
1136,ROSENDO SALAZAR (CONJ HAB),AZCAPOTZALCO,19.4870193654,-99.2058873381
1137,SANTA BARBARA (PBLO),AZCAPOTZALCO,19.4998774489,-99.1788833818
1138,SAN SEBASTIAN,AZCAPOTZALCO,19.4805914,-99.1772035619
1139,SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,19.4743302618,-99.1785730345
1140,HIPODROMO II,CUAUHTEMOC,19.40657933,-99.1729659571
1141,MORELOS I,CUAUHTEMOC,19.4499366664,-99.1302832655
1142,DOCTORES III,CUAUHTEMOC,19.4164724858,-99.1458095732
1143,CENTRO V,CUAUHTEMOC,19.4276340757,-99.1382052651
1144,JUAN ESCUTIA II,IZTAPALAPA,19.3900376409,-99.0397955784
1145,TEPALCATES II,IZTAPALAPA,19.3931769281,-99.0566070353
1146,ERMITA ZARAGOZA (U HAB) I,IZTAPALAPA,19.3624476804,-98.9980229328
1147,SIDERAL,IZTAPALAPA,19.3736913408,-99.0655076619
1148,TULA (BARR),IZTAPALAPA,19.3371402423,-99.1122645504
1149,VICENTE GUERRERO SUPER MANZANA 7 (U HAB),IZTAPALAPA,19.3565232145,-99.0601350993
1150,SAN ANTONIO CULHUACAN (BARR),IZTAPALAPA,19.3415368068,-99.1126056729
1151,RICARDO FLORES MAGON (AMPL),IZTAPALAPA,19.3539425834,-99.1006593753
1152,SAN LORENZO XICOTENCATL (PBLO),IZTAPALAPA,19.3836536789,-99.0271336857
1153,PLENITUD (U HAB),IZTAPALAPA,19.299237381,-99.0811269504
1154,LOS ANGELES,IZTAPALAPA,19.345354017,-99.0691282152
1155,LOS CIPRESES,IZTAPALAPA,19.3532500958,-99.108208238
1156,EL TRIANGULO,IZTAPALAPA,19.3183903341,-99.0512509595
1157,LA NUEVA ROSITA,IZTAPALAPA,19.3774316005,-99.1064394007
1158,ESTRELLA DEL SUR,IZTAPALAPA,19.3487669662,-99.0985510142
1159,F P F V (PREDIO EL MOLINO) ( U HAB),IZTAPALAPA,19.287250281,-99.070101557
1160,ESTRELLA CULHUACAN,IZTAPALAPA,19.3316105274,-99.1075847437
1161,ALAMOS I,BENITO JUAREZ,19.4004298498,-99.1409292016
1162,NARVARTE IV,BENITO JUAREZ,19.3928398249,-99.1512317284
1163,SAN MATEO TLALTENANGO (PBLO),CUAJIMALPA DE MORELOS,19.3369214855,-99.2877386872
1164,BARRANCA SECA,LA MAGDALENA CONTRERAS,19.3062022638,-99.2395420412
1165,MEMETLA,CUAJIMALPA DE MORELOS,19.3604236591,-99.2858184057
1166,EL MOLINO,CUAJIMALPA DE MORELOS,19.3654592429,-99.2825691517
1167,EL MOLINITO,CUAJIMALPA DE MORELOS,19.3615645318,-99.2871923908
1168,EL TORO,LA MAGDALENA CONTRERAS,19.3119604371,-99.2462651676
1169,PIEDAD NARVARTE,BENITO JUAREZ,19.4027049534,-99.1562339153
1170,PORTALES ORIENTE,BENITO JUAREZ,19.365916354,-99.1402087162
1171,COLONIAL IZTAPALAPA (FRACC),IZTAPALAPA,19.3470579789,-99.0553272867
1172,EL SIFON,IZTAPALAPA,19.3714995589,-99.1152847287
1173,CULHUACAN (PBLO),IZTAPALAPA,19.3383050715,-99.1076384675
1174,EL MOLINO_,IZTAPALAPA,19.3551229182,-99.0881142144
1175,ART 4TO CONSTITUCIONAL (U HAB),IZTAPALAPA,19.3678421944,-99.0341139569
1176,BANJIDAL,IZTAPALAPA,19.3627245382,-99.1371517358
1177,BENITO JUAREZ,IZTAPALAPA,19.3296058799,-99.0785966228
1178,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4295439094,-99.1875757744
1179,LOMAS DE BEZARES,MIGUEL HIDALGO,19.3924448773,-99.2428709219
1180,REFORMA SOCIAL,MIGUEL HIDALGO,19.4310691788,-99.217718464
1181,LOMAS DE SOTELO,MIGUEL HIDALGO,19.4492461991,-99.215268164
1182,SAN LORENZO TLALTENANGO,MIGUEL HIDALGO,19.466849589,-99.2099946654
1183,PALMITAS (POLANCO),MIGUEL HIDALGO,19.4309018729,-99.2048424103
1184,10 DE ABRIL,MIGUEL HIDALGO,19.4485510129,-99.2084859284
1185,PEON DE LOS BAOS,VENUSTIANO CARRANZA,19.4355893717,-99.0706198005
1186,KENNEDY (U HAB),VENUSTIANO CARRANZA,19.4197656963,-99.1114162463
1187,INDUSTRIAL PUERTO AEREO (FRACC),VENUSTIANO CARRANZA,19.4212452168,-99.0937348209
1188,CAMPESTRE CHURUBUSCO,COYOACAN,19.3454092595,-99.1358655439
1189,SAN MIGUEL CHAPULTEPEC II,MIGUEL HIDALGO,19.4119025025,-99.1837523189
1190,ANAHUAC II,MIGUEL HIDALGO,19.4412164017,-99.177507046
1191,ALTILLO (COND ALTILLO UNIVERSIDAD),COYOACAN,19.340792545,-99.1807109116
1192,CENTRO URBANO TLALPAN (U HAB),COYOACAN,19.3386992496,-99.1422079836
1193,DEL NIO JESUS (BARR),COYOACAN,19.3414112805,-99.1589499218
1194,PEDREGAL DE SAN FRANCISCO (FRACC),COYOACAN,19.3388204534,-99.1661922139
1195,SANTA URSULA COAPA (PBLO),COYOACAN,19.3096947128,-99.1443953788
1196,VILLA COYOACAN,COYOACAN,19.3473603624,-99.163099317
1197,LOS OLIVOS (U HAB),COYOACAN,19.3126148113,-99.1347514239
1198,LA VIRGEN 1170 (U HAB),COYOACAN,19.3235620501,-99.1041300516
1199,AVIACION CIVIL,VENUSTIANO CARRANZA,19.4151260367,-99.0796617119
1200,TAXQUEA,COYOACAN,19.3392324,-99.1232106865
1201,EX EJIDO SAN FRANCISCO CULHUACAN III,COYOACAN,19.3307417643,-99.1221305228
1202,JARDIN BALBUENA I,VENUSTIANO CARRANZA,19.4215844077,-99.1053538347
1203,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4228411174,-99.2157935754
1204,LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4106158914,-99.2262487268
1205,DEL BOSQUE (POLANCO),MIGUEL HIDALGO,19.4342189235,-99.2094037513
1206,PEDREGAL DE SANTA URSULA I,COYOACAN,19.314862237,-99.1477954505
1207,AJUSCO I,COYOACAN,19.324571116,-99.1561602234
1208,VISTAS DEL MAUREL (U HAB),COYOACAN,19.3053003722,-99.1734305912
1209,IGNACIO ZARAGOZA I,VENUSTIANO CARRANZA,19.4131119713,-99.0946992338
1210,CENTRO II,VENUSTIANO CARRANZA,19.4257144309,-99.1226597674
1211,VALENTIN GOMEZ FARIAS,VENUSTIANO CARRANZA,19.4161844072,-99.0935753088
1212,MORELOS II,VENUSTIANO CARRANZA,19.4415560237,-99.1183549378
1213,NICOLAS BRAVO,VENUSTIANO CARRANZA,19.4538981425,-99.1231533534
1214,5 DE MAYO,MIGUEL HIDALGO,19.4484587894,-99.1999095691
1215,PLUTARCO ELIAS CALLES,MIGUEL HIDALGO,19.4548396919,-99.1691894629
1216,CAMPESTRE COYOACAN (FRACC),COYOACAN,19.3088228782,-99.1170550984
1217,JANITZIO,VENUSTIANO CARRANZA,19.4475072464,-99.1174322362
1218,FELIPE ANGELES,VENUSTIANO CARRANZA,19.4526551282,-99.1122459477
1219,AZTECA,VENUSTIANO CARRANZA,19.4384228454,-99.1079557082
1220,ARTES GRAFICAS,VENUSTIANO CARRANZA,19.4113463978,-99.1258705526
1221,CUATRO ARBOLES,VENUSTIANO CARRANZA,19.4164712493,-99.0844284558
1222,CTM X CULHUACAN (U HAB),COYOACAN,19.307966041,-99.1102887862
1223,EMILIANO ZAPATA,COYOACAN,19.326716273,-99.1380465169
1224,SAN FRANCISCO CULHUACAN (PBLO),COYOACAN,19.3355619401,-99.1182479778
1225,PARQUE SAN ANDRES,COYOACAN,19.3457136742,-99.1483519404
1226,OLIMPICA,COYOACAN,19.3042837028,-99.1700844887
1227,CTM EL RISCO (U HAB),GUSTAVO A. MADERO,19.5094365342,-99.0960012649
1228,EL ARBOLILLO 2 (U HAB),GUSTAVO A. MADERO,19.5341864173,-99.1443342522
1229,C T M ARAGON (U),GUSTAVO A. MADERO,19.4526847398,-99.0560709204
1230,EDUARDO MOLINA II (U HAB),GUSTAVO A. MADERO,19.4831523279,-99.0920755315
1231,VILLA DE ARAGON (FRACC),GUSTAVO A. MADERO,19.4684352203,-99.0605841044
1232,NUEVA VALLEJO,GUSTAVO A. MADERO,19.4910226456,-99.1498625821
1233,SAN JUAN DE ARAGON 6A SECCION (U HAB) I,GUSTAVO A. MADERO,19.4693898906,-99.0692885718
1234,SANTIAGO ATEPETLAC (LA SELVITA) (U HAB),GUSTAVO A. MADERO,19.5196414819,-99.1476345383
